id,Nombre,Descripcion,Codigo
1,LISTEL,Brillante 10X10mm, U10X10B
2,LISTEL,Brillante 12X15mm, U12X15B
3,LISTEL,Brillante 10X20mm, U10X20B
4,LISTEL,Mate 10X10mm, U10X10M
5,LISTEL,Mate 12X15mm, U12X15M
6,LISTEL,Mate 10X20mm, U10X20M
7,LISTEL,Brillante 10X30mm, U10X30B
8,LISTEL,Brillante 10X40mm, U10X40B
9,LISTEL,Brillante 10X50mm, U10X50B
10,LISTEL,Mate 10X30mm, U10X30M
11,LISTEL,Mate 10X40mm, U10X40M
12,LISTEL,Mate 10X50mm, U10X50M
13,TAPACANTO,Brillante, TA20X20B
14,PERFIL TROQ.,"Brillante 12,5mm"," LT12,5B"
15,DESNIVEL DE PISO,Brillante 10X25mm, DESNP ACB
16,TAPACANTO,Mate, TA20X20M
17,PERFIL TROQ.,"Mate 12,5mm"," LT12,5M"
18,DESNIVEL DE PISO,Mate 10X25mm, DESNP ACM
19,LISTEL U TROQ.,Brillante 10X10mm, UT10X10B
20,LISTEL U TROQ.,Brillante 12X15mm, UT12X15B
21,GUARDACANTO,Brillante 9mm, GACE9B
22,LISTEL U TROQ.,Mate 10X10mm, UT10X10M
23,LISTEL U TROQ.,Mate 12X15mm, UT12X15M
24,GUARDACANTO,Mate 9mm, GACE9M
25,GUARDACANTO,Brillante 12mm, GACE12B
26,GUARDACANTO,Mate 12mm, GACE12M
